
 ****** Running generation 0 ****** 

Population's average fitness: 21.84875 stdev: 3.60914
Best fitness: 34.00000 - size: (6, 26) - species 12 - id 125
Average adjusted fitness: 0.535
Mean genetic distance 3.156, standard deviation 0.234
Population of 799 members in 125 species:
   ID   age  size  fitness  adj fit  stag
    68    1     8     30.0    0.515     0
    69    1     6     27.0    0.396     0
    70    1     3     29.0    0.562     0
    71    1     7     30.0    0.431     0
    72    1     6     27.0    0.635     0
    73    1     6     28.0    0.462     0
    74    1    14     22.0    0.333     0
    75    1     8     23.0    0.442     0
    76    1     3     18.0    0.308     0
    77    1     5     22.0    0.462     0
    78    1     6     22.0    0.462     0
    79    1     5     26.0    0.474     0
    80    1     4     24.0    0.446     0
    81    1     6     25.0    0.445     0
    82    1     4     26.0    0.526     0
    83    1     2     26.0    0.487     0
    84    1     3     21.0    0.423     0
    85    1     1     22.0    0.385     0
    86    1     7     23.0    0.410     0
    87    1     1     27.0    0.446     0
    88    1     5     26.0    0.615     0
    89    1     6     27.0    0.538     0
    90    1     7     28.0    0.532     0
    91    1     3     22.0    0.346     0
    92    1     8     27.0    0.548     0
    93    1     8     24.0    0.453     0
    94    1     5     23.0    0.474     0
    95    1     6     29.0    0.431     0
    96    1     1     28.0    0.408     0
    97    1     3     23.0    0.462     0
    98    1     6     27.0    0.431     0
    99    1     7     29.0    0.596     0
   100    1     7     26.0    0.410     0
   101    1     7     28.0    0.455     0
   102    1     6     25.0    0.449     0
   103    1     3     24.0    0.288     0
   104    1     4     20.0    0.385     0
   105    1     9     25.0    0.423     0
   106    1     7     24.0    0.462     0
   107    1     5     26.0    0.615     0
   108    1     3     22.0    0.365     0
   109    1    11     31.0    0.769     0
   110    1     6     21.0    0.404     0
   111    1     2     30.0    0.608     0
   112    1     4     27.0    0.500     0
   113    1     5     27.0    0.404     0
   114    1    12     25.0    0.519     0
   115    1     2     27.0    0.451     0
   116    1     5     25.0    0.436     0
   117    1     4     23.0    0.436     0
   118    1     7     16.0    0.231     0
   119    1     8     19.0    0.346     0
   120    1     3     18.0    0.308     0
   121    1     5     25.0    0.481     0
   122    1     9     27.0    0.654     0
   123    1     7     28.0    0.513     0
   124    1    14     32.0    0.530     0
   125    1     6     27.0    0.454     0
   126    0     3       --       --     0
   127    0     2       --       --     0
   128    0     8       --       --     0
   129    0     1       --       --     0
   130    0     2       --       --     0
   131    0     1       --       --     0
   132    0     1       --       --     0
   133    0     5       --       --     0
   134    0     2       --       --     0
Total extinctions: 0
Generation time: 10.925 sec (10.296 average)

 ****** Running generation 2 ****** 

Population's average fitness: 22.13060 stdev: 3.79206
Best fitness: 34.00000 - size: (6, 25) - species 8 - id 1310
Average adjusted fitness: 0.461
Mean genetic distance 3.189, standard deviation 0.253
Population of 799 members in 135 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    2     4     28.0    0.509     2
     2    2     6     31.0    0.487     0
     3    2     3     24.0    0.436     2
     4    2     8     27.0    0.482     1
     5    2     6     29.0    0.518     2
     6    2     7     28.0    0.415     2
     7    2     6     25.0    0.318     1
     8    2     6     34.0    0.609     0
     9    2     8     29.0    0.375     0
