Iteration: 76 of 36000, ANNs: 12, Score, mean: 3.17, max: 8.00 - took 0.09s
Iteration: 77 of 36000, ANNs: 12, Score, mean: 1.00, max: 6.00 - took 0.09s
Iteration: 78 of 36000, ANNs: 12, Score, mean: 2.50, max: 8.00 - took 0.09s
Iteration: 79 of 36000, ANNs: 12, Score, mean: 2.00, max: 8.00 - took 0.09s
Iteration: 81 of 36000, ANNs: 12, Score, mean: 2.50, max: 6.00 - took 0.09s
Iteration: 82 of 36000, ANNs: 12, Score, mean: 2.83, max: 6.00 - took 0.09s
Iteration: 83 of 36000, ANNs: 12, Score, mean: 2.33, max: 10.00 - took 0.09s
Iteration: 84 of 36000, ANNs: 12, Score, mean: 3.00, max: 8.00 - took 0.09s
Iteration: 85 of 36000, ANNs: 12, Score, mean: 2.33, max: 6.00 - took 0.09s
Iteration: 86 of 36000, ANNs: 12, Score, mean: 0.67, max: 6.00 - took 0.09s
Iteration: 87 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 88 of 36000, ANNs: 12, Score, mean: 1.83, max: 6.00 - took 0.09s
Iteration: 89 of 36000, ANNs: 12, Score, mean: 3.00, max: 6.00 - took 0.09s
Iteration: 91 of 36000, ANNs: 12, Score, mean: 2.50, max: 8.00 - took 0.09s
Iteration: 92 of 36000, ANNs: 12, Score, mean: 2.00, max: 8.00 - took 0.09s
Iteration: 93 of 36000, ANNs: 12, Score, mean: 2.17, max: 10.00 - took 0.09s
Iteration: 94 of 36000, ANNs: 12, Score, mean: -0.83, max: 4.00 - took 0.09s
Iteration: 95 of 36000, ANNs: 12, Score, mean: 2.33, max: 10.00 - took 0.09s
Iteration: 96 of 36000, ANNs: 12, Score, mean: 2.33, max: 6.00 - took 0.09s
Iteration: 97 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.09s
Iteration: 98 of 36000, ANNs: 12, Score, mean: 3.50, max: 8.00 - took 0.10s
Iteration: 99 of 36000, ANNs: 12, Score, mean: 3.00, max: 10.00 - took 0.09s
Iteration: 101 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 102 of 36000, ANNs: 12, Score, mean: 2.50, max: 6.00 - took 0.09s
Iteration: 103 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.09s
Iteration: 104 of 36000, ANNs: 12, Score, mean: 3.50, max: 10.00 - took 0.10s
Iteration: 105 of 36000, ANNs: 12, Score, mean: 3.50, max: 12.00 - took 0.09s
Iteration: 106 of 36000, ANNs: 12, Score, mean: 2.33, max: 8.00 - took 0.09s
Iteration: 107 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.09s
Iteration: 108 of 36000, ANNs: 12, Score, mean: 3.00, max: 10.00 - took 0.09s
Iteration: 109 of 36000, ANNs: 12, Score, mean: 2.33, max: 8.00 - took 0.10s
Iteration: 111 of 36000, ANNs: 12, Score, mean: 1.83, max: 10.00 - took 0.09s
Iteration: 112 of 36000, ANNs: 12, Score, mean: 1.17, max: 6.00 - took 0.09s
Iteration: 113 of 36000, ANNs: 12, Score, mean: 1.50, max: 8.00 - took 0.09s
Iteration: 114 of 36000, ANNs: 12, Score, mean: 1.17, max: 4.00 - took 0.10s
Iteration: 115 of 36000, ANNs: 12, Score, mean: 2.83, max: 10.00 - took 0.09s
Iteration: 116 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.09s
Iteration: 117 of 36000, ANNs: 12, Score, mean: 1.50, max: 8.00 - took 0.09s
Iteration: 118 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.09s
Iteration: 119 of 36000, ANNs: 12, Score, mean: -0.33, max: 4.00 - took 0.09s
Iteration: 121 of 36000, ANNs: 12, Score, mean: 0.50, max: 6.00 - took 0.09s
Iteration: 122 of 36000, ANNs: 12, Score, mean: 1.83, max: 10.00 - took 0.09s
Iteration: 123 of 36000, ANNs: 12, Score, mean: 2.17, max: 10.00 - took 0.09s
Iteration: 124 of 36000, ANNs: 12, Score, mean: 1.17, max: 6.00 - took 0.09s
Iteration: 125 of 36000, ANNs: 12, Score, mean: 3.83, max: 8.00 - took 0.10s
Iteration: 126 of 36000, ANNs: 12, Score, mean: 3.50, max: 10.00 - took 0.09s
Iteration: 127 of 36000, ANNs: 12, Score, mean: 1.83, max: 4.00 - took 0.09s
Iteration: 128 of 36000, ANNs: 12, Score, mean: 2.67, max: 6.00 - took 0.09s
Iteration: 129 of 36000, ANNs: 12, Score, mean: -1.33, max: 6.00 - took 0.09s
Iteration: 131 of 36000, ANNs: 12, Score, mean: 1.67, max: 8.00 - took 0.09s
Iteration: 132 of 36000, ANNs: 12, Score, mean: 1.17, max: 4.00 - took 0.09s
Iteration: 133 of 36000, ANNs: 12, Score, mean: 1.67, max: 8.00 - took 0.09s
Iteration: 134 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.09s
Iteration: 135 of 36000, ANNs: 12, Score, mean: 2.17, max: 6.00 - took 0.09s
Iteration: 136 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.10s
Iteration: 137 of 36000, ANNs: 12, Score, mean: 0.83, max: 6.00 - took 0.09s
Iteration: 138 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 139 of 36000, ANNs: 12, Score, mean: 2.00, max: 8.00 - took 0.09s
Iteration: 141 of 36000, ANNs: 12, Score, mean: 2.17, max: 8.00 - took 0.10s
Iteration: 142 of 36000, ANNs: 12, Score, mean: 3.33, max: 6.00 - took 0.09s
Iteration: 143 of 36000, ANNs: 12, Score, mean: 3.83, max: 8.00 - took 0.09s
Iteration: 144 of 36000, ANNs: 12, Score, mean: 0.00, max: 6.00 - took 0.09s
Iteration: 145 of 36000, ANNs: 12, Score, mean: 3.17, max: 8.00 - took 0.09s
Iteration: 146 of 36000, ANNs: 12, Score, mean: 1.83, max: 8.00 - took 0.10s
Iteration: 147 of 36000, ANNs: 12, Score, mean: 3.17, max: 10.00 - took 0.10s
Iteration: 148 of 36000, ANNs: 12, Score, mean: 0.50, max: 4.00 - took 0.09s
Iteration: 149 of 36000, ANNs: 12, Score, mean: 1.50, max: 4.00 - took 0.09s
Iteration: 151 of 36000, ANNs: 12, Score, mean: 2.83, max: 8.00 - took 0.09s
Iteration: 152 of 36000, ANNs: 12, Score, mean: 3.33, max: 8.00 - took 0.09s
Iteration: 153 of 36000, ANNs: 12, Score, mean: 1.83, max: 10.00 - took 0.09s
Iteration: 154 of 36000, ANNs: 12, Score, mean: 2.83, max: 8.00 - took 0.09s
Iteration: 155 of 36000, ANNs: 12, Score, mean: 3.50, max: 10.00 - took 0.09s
Iteration: 156 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.09s
Iteration: 157 of 36000, ANNs: 12, Score, mean: 3.17, max: 10.00 - took 0.09s
Iteration: 158 of 36000, ANNs: 12, Score, mean: 1.50, max: 8.00 - took 0.09s
Iteration: 159 of 36000, ANNs: 12, Score, mean: 3.33, max: 8.00 - took 0.09s
Iteration: 161 of 36000, ANNs: 12, Score, mean: 3.17, max: 12.00 - took 0.09s
Iteration: 162 of 36000, ANNs: 12, Score, mean: 1.50, max: 8.00 - took 0.09s
Iteration: 163 of 36000, ANNs: 12, Score, mean: 1.83, max: 8.00 - took 0.10s
Iteration: 164 of 36000, ANNs: 12, Score, mean: 3.00, max: 8.00 - took 0.09s
Iteration: 165 of 36000, ANNs: 12, Score, mean: 2.67, max: 6.00 - took 0.09s
Iteration: 166 of 36000, ANNs: 12, Score, mean: 1.67, max: 8.00 - took 0.09s
Iteration: 167 of 36000, ANNs: 12, Score, mean: 1.50, max: 10.00 - took 0.09s
Iteration: 168 of 36000, ANNs: 12, Score, mean: 1.17, max: 8.00 - took 0.09s
Iteration: 169 of 36000, ANNs: 12, Score, mean: 3.50, max: 10.00 - took 0.10s
Iteration: 171 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.09s
Iteration: 172 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.09s
Iteration: 173 of 36000, ANNs: 12, Score, mean: 2.33, max: 8.00 - took 0.09s
Iteration: 174 of 36000, ANNs: 12, Score, mean: 2.33, max: 8.00 - took 0.09s
Iteration: 175 of 36000, ANNs: 12, Score, mean: 2.50, max: 8.00 - took 0.09s
Iteration: 176 of 36000, ANNs: 12, Score, mean: 0.50, max: 6.00 - took 0.09s
Iteration: 177 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.09s
Iteration: 178 of 36000, ANNs: 12, Score, mean: 3.33, max: 6.00 - took 0.09s
Iteration: 179 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.10s
Iteration: 181 of 36000, ANNs: 12, Score, mean: 3.00, max: 8.00 - took 0.09s
Iteration: 182 of 36000, ANNs: 12, Score, mean: 2.17, max: 8.00 - took 0.09s
Iteration: 183 of 36000, ANNs: 12, Score, mean: 3.17, max: 12.00 - took 0.09s
Iteration: 184 of 36000, ANNs: 12, Score, mean: 1.50, max: 4.00 - took 0.09s
Iteration: 185 of 36000, ANNs: 12, Score, mean: 2.83, max: 8.00 - took 0.10s
Iteration: 186 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.09s
Iteration: 187 of 36000, ANNs: 12, Score, mean: 0.17, max: 8.00 - took 0.09s
Iteration: 188 of 36000, ANNs: 12, Score, mean: 1.17, max: 6.00 - took 0.09s
Iteration: 189 of 36000, ANNs: 12, Score, mean: 3.17, max: 10.00 - took 0.09s
Iteration: 191 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.09s
Iteration: 192 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.09s
Iteration: 193 of 36000, ANNs: 12, Score, mean: 3.50, max: 12.00 - took 0.09s
Iteration: 194 of 36000, ANNs: 12, Score, mean: 1.50, max: 8.00 - took 0.09s
Iteration: 195 of 36000, ANNs: 12, Score, mean: 3.33, max: 8.00 - took 0.10s
Iteration: 196 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 197 of 36000, ANNs: 12, Score, mean: 1.33, max: 10.00 - took 0.09s
Iteration: 198 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.09s
Iteration: 199 of 36000, ANNs: 12, Score, mean: 0.67, max: 6.00 - took 0.09s
Iteration: 201 of 36000, ANNs: 12, Score, mean: 2.00, max: 8.00 - took 0.09s
Iteration: 202 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.09s
Iteration: 203 of 36000, ANNs: 12, Score, mean: 2.83, max: 8.00 - took 0.09s
Iteration: 204 of 36000, ANNs: 12, Score, mean: 3.33, max: 12.00 - took 0.09s
Iteration: 205 of 36000, ANNs: 12, Score, mean: 2.17, max: 10.00 - took 0.09s
Iteration: 206 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.10s
Iteration: 207 of 36000, ANNs: 12, Score, mean: 1.83, max: 6.00 - took 0.09s
Iteration: 208 of 36000, ANNs: 12, Score, mean: 1.67, max: 10.00 - took 0.09s
